ID,Soil,Plant,Tray,Date,Week,Presence,Leaves,Flowering,Adj.Week,root.length,root.dry,shoot.height,plant.height,shoot.wet,shoot.root,shoot.dry,plant.moist,pm.percent,sample,site,location,wt,grp1,grp2,grp3,grp4,grp5,plant.biomass
125,Autoclaved,Plantago,4,11/21/16,11,0,.,.,11,11.9,0.45,5.6,17.5,0.074,0.47058824,0.0154,0.0586,79.1891892,g-a-pla-6,.,greenhouse,0.22,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.4654
115,Autoclaved,Plantago,1,11/21/16,11,1,153,1,11,13.5,0.43,4.5,18,0.029,0.33333333,0.0112,0.0178,61.3793103,g-a-pla-5,.,greenhouse,0.26,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.4412
137,Autoclaved,Plantago,7,11/21/16,11,1,7,0,11,14,0.45,7,21,0.149,0.5,0.041,0.108,72.4832215,g-a-pla-4,.,greenhouse,0.25,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.491
118,Autoclaved,Plantago,2,11/21/16,11,0,.,.,11,10.8,0.41,6.2,17,0.022,0.57407407,.,.,.,g-a-pla-3,.,greenhouse,0.38,pla.auto,g.auto,g.pla,g.pla.auto,sample,.
116,Autoclaved,Plantago,1,11/21/16,11,1,126,1,11,13.5,0.57,7,20.5,0.732,0.51851852,0.277,0.455,62.15847,g-a-pla-2,.,greenhouse,0.24,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.847
127,Autoclaved,Plantago,6,12/12/16,15,1,17,0,11,16,0.13,7.5,23.5,0.28,0.46875,0.007,0.273,97.5,g-a-pla-10,.,greenhouse,0.21,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.137
132,Autoclaved,Plantago,8,11/21/16,11,0,.,.,11,4,0.43,5.5,9.5,0.0347,1.375,0.0166,0.0181,52.1613833,g-a-pla-1,.,greenhouse,0.04,pla.auto,g.auto,g.pla,g.pla.auto,sample,0.4466
99,Autoclaved,Gilia,3,11/28/16,13,1,16,.,11,12.5,0.4,15,27.5,1.41,1.2,0.12,1.29,91.4893617,g-a-gil-9,.,greenhouse,0.23,gil.auto,g.auto,g.gil,g.gil.auto,sample,0.52
95,Autoclaved,Gilia,2,11/21/16,11,0,.,.,11,12,8.22,12.5,24.5,2.488,1.04166667,0.53,1.958,78.6977492,g-a-gil-8,.,greenhouse,0.23,gil.auto,g.auto,g.gil,g.gil.auto,sample,8.75
97,Autoclaved,Gilia,3,11/21/16,11,1,22,0,11,11,0.44,12,23,1.079,1.09090909,0.1976,0.8814,81.686747,g-a-gil-7,.,greenhouse,0.24,gil.auto,g.auto,g.gil,g.gil.auto,sample,0.6376
92,Autoclaved,Gilia,1,11/21/16,11,0,.,.,11,15,0.48,7.5,22.5,0.959,0.5,0.13,0.829,86.4442127,g-a-gil-6,.,greenhouse,0.25,gil.auto,g.auto,g.gil,g.gil.auto,sample,0.61
91,Autoclaved,Gilia,1,11/21/16,11,1,21,0,11,13.5,0.46,8.5,22,1.489,0.62962963,0.27,1.219,81.8670249,g-a-gil-5,.,greenhouse,0.21,gil.auto,g.auto,g.gil,g.gil.auto,sample,0.73
100,Autoclaved,Gilia,4,11/21/16,11,1,4,0,11,12,1.64,22.2,34.2,3.397,1.85,0.63,2.767,81.4542243,g-a-gil-4,.,greenhouse,0.23,gil.auto,g.auto,g.gil,g.gil.auto,sample,2.27
94,Autoclaved,Gilia,2,11/21/16,11,1,1,0,11,11.5,1.06,12,23.5,2.738,1.04347826,0.45,2.288,83.5646457,g-a-gil-3,.,greenhouse,0.24,gil.auto,g.auto,g.gil,g.gil.auto,sample,1.51
